symbol,isin,stock_name,issuer_name,face_value,country,industry,outstanding_shares,
GUJFLUORO,INE538A01037,Gujarat Fluorochemicals Limited,Gujarat Fluorochemicals Limited,1,INDIA,INDUSTRIAL MANUFACTURING,CHEMICALS,
GUJGASLTD,INE844O01022,Gujarat Gas Limited,Gujarat Gas Limited,10,INDIA,ENERGY,OIL DRILLING AND EXPLORATION,
GULFOILLUB,INE635Q01029,Gulf Oil Lubricants India Limited,Gulf Oil Lubricants India Limited,2,INDIA,ENERGY,LUBRICANTS,
GULFPETRO,INE586G01017,GP Petroleums Limited,GP Petroleums Limited,5,INDIA,,#N/A,
GULPOLY,INE255D01024,Gulshan Polyols Limited,Gulshan Polyols Limited,1,INDIA,,#N/A,
GVKPIL,INE251H01024,GVK Power & Infrastructure Limited,GVK Power & Infrastructure Limited,1,INDIA,CONSTRUCTION,#N/A,
H1190M36RG,INF179KB1PA4,,,,INDIA,,#N/A,
HAL,INE066F01012,,,,INDIA,,#N/A,
HANUNG,INE648H01013,Hanung Toys and Textiles Limited,Hanung Toys and Textiles Limited,10,INDIA,TEXTILES,TEXTILES - GENERAL,
HARITASEAT,INE939D01015,Harita Seating Systems Limited,Harita Seating Systems Limited,10,INDIA,,#N/A,
HARRMALAYA,INE544A01019,Harrisons  Malayalam Limited,Harrisons  Malayalam Limited,10,INDIA,,#N/A,
HATHWAY,INE982F01036,Hathway Cable & Datacom Limited,Hathway Cable & Datacom Limited,2,INDIA,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
HATSUN,IN9473B01017,Hatsun Agro Product Limited,Hatsun Agro Product Limited,1,INDIA,CONSUMER GOODS,FOOD PROCESSING,CONSUMER GOODS
HAVELLS,INE176B01034,Havells India Limited,Havells India Limited,1,INDIA,CONSUMER GOODS,ELECTRIC EQUIPMENT,
HAVISHA,INE293B01029,,,,INDIA,,#N/A,
HBLPOWER,INE292B01021,HBL Power Systems Limited,HBL Power Systems Limited,1,INDIA,,#N/A,
HCC,INE549A01026,Hindustan Construction Company Limited,Hindustan Construction Company Limited,1,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,
HCG,INE075I01017,Healthcare Global Enterprises Limited,Healthcare Global Enterprises Limited,10,INDIA,HEALTHCARE SERVICES,HOSPITALS & MEDICAL SERVICES,
HCL-INSYS,INE236A01020,HCL Infosystems Limited,HCL Infosystems Limited,2,INDIA,IT,COMPUTERS - HARDWARE,
HCLTECH,INE860A01027,HCL Technologies Limited,HCL Technologies Limited,2,INDIA,IT,COMPUTERS - SOFTWARE,
HDFC,INE001A01036,Housing Development Finance Corporation Limited,Housing Development Finance Corporation Limited,2,INDIA,FINANCIAL SERVICES,FINANCE - HOUSING,
HDFCBANK,INE040A01026,HDFC Bank Limited,HDFC Bank Limited,2,INDIA,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,
HDFCLIFE,INE795G01014,,,,INDIA,,#N/A,
HDFCMFGETF,INF179K01CN1,,,,INDIA,,#N/A,
HDFCNIFETF,INF179KB1KP3,,,,INDIA,,#N/A,
HDFCSENETF,INF179KB1KQ1,,,,INDIA,,#N/A,
HDIL,INE191I01012,Housing Development and Infrastructure Limited,Housing Development and Infrastructure Limited,10,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,
