symbol,name,facev,marketcap_cr,vwap,outshares,dividend,exdate,recorddate
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,10.00,5.37,10.27,5228821.811100293,ANNUAL GENERAL MEETING,18-SEP-18,-
BIRLACABLE,Birla Cable Limited,10.00,136.63,146.27,9340944.8280577,ANNUAL GENERAL MEETING\/DIVIDEND RE 1\/- PER SHARE,23-JUL-18,-
BIRLACORPN,Birla Corporation Limited,10.00,2192.46,772.93,28365569.97399506,ANNUAL GENERAL MEETING\/DIVIDEND- RS 6.50 PER SHARE,12-JUL-18,-
BIRLAMONEY,Aditya Birla Money Limited,1.00,93.93,66.20,14188821.752265861,ANNUAL GENERAL MEETING,28-JUN-18,-
BKMINDST,Bkm Industries Limited,1.00,42.07,17.28,24346064.814814813,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.20 PER SHARE,08-SEP-17,-
BLBLIMITED,BLB Limited,1.00,3.40,4.90,6938775.5102040805,ANNUAL GENERAL MEETING,14-AUG-18,-
BLISSGVS,Bliss GVS Pharma Limited,1.00,770.71,190.68,40419026.641493596,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,14-AUG-18,-
BLKASHYAP,B. L. Kashyap and Sons Limited,1.00,188.77,33.22,56824202.28777845,ANNUAL GENERAL MEETING,18-SEP-18,-
BLS,BLS International Services Limited,1.00,444.57,167.64,26519327.129563354,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.30\/- PER SHARE,12-SEP-17,-
BLUEBLENDS,Blue Blends (I) Limited,10.00,5.53,6.79,8144329.896907217,ANNUAL GENERAL MEETING,19-SEP-18,-
BLUEDART,Blue Dart Express Limited,10.00,2139.64,3584.75,5968728.642164726,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 12.50 PER SHARE,20-JUL-18,-
BLUESTARCO,Blue Star Limited,2.00,4037.33,688.50,58639506.1728395,ANNUAL GENERAL MEETING\/ FINAL DIVIDEND- RS 8.50 PER SHARE\/ SPECIAL DIVIDEND- RS 1.50 PER SHARE,26-JUL-18,-
BODALCHEM,Bodal Chemicals Limited,2.00,677.96,122.13,55511340.37501024,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.50 PER SHARE,14-SEP-17,-
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2.00,2476.33,259.61,95386541.35048725,DIVIDEND- RE 1 PER SHARE,19-JUL-18,-
BOROSIL,Borosil Glass Works Limited,1.00,760.04,298.04,25501274.99664474,BONUS 3:1,02-AUG-18,03-AUG-18
BOSCHLTD,Bosch Limited,10.00,17196.25,18878.73,9108795.983628137,ANNUAL GENERAL MEETING\/DIVIDEND- RS 100 PER SHARE,07-JUN-18,-
BPCL,Bharat Petroleum Corporation Limited,10.00,29359.10,370.81,791755885.7635986,ANNUAL GENERAL MEETING\/DIVIDEND RS- 7 PER SHARE,31-AUG-18,-
BPL,BPL Limited,10.00,95.23,52.61,18101121.45979852,ANNUAL GENERAL MEETING,18-SEP-17,-
BRFL,Bombay Rayon Fashions Limited,10.00,113.97,18.10,62966850.82872927,ANNUAL GENERAL MEETING,15-SEP-17,-
BRIGADE,Brigade Enterprises Limited,10.00,1386.31,194.82,71158505.28693153,DIVIDEND- RS 2 PER SHARE,02-AUG-18,03-AUG-18
BRITANNIA,Britannia Industries Limited,2.00,39835.46,6842.97,58213699.60704197,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 25 PER SHARE,27-JUL-18,-
BRNL,Bharat Road Network Limited,10.00,472.91,159.04,29735286.720321935,INTERIM DIVIDEND - RE 0.50 PER SHARE,16-NOV-17,17-NOV-17
BROOKS,Brooks Laboratories Limited,10.00,49.59,79.07,6271658.024535223,ANNUAL GENERAL MEETING,02-AUG-18,-
BSE,BSE Limited,2.00,4021.08,744.04,54043868.60921456,DIVIDEND- RS 31 PER SHARE,25-JUL-18,26-JUL-18
BSELINFRA,BSEL Infrastructure Realty Limited,10.00,19.78,3.44,57500000.0,ANNUAL GENERAL MEETING,14-SEP-17,-
BSL,BSL Limited,10.00,25.90,56.24,4605263.157894736,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,19-SEP-18,-
BURNPUR,Burnpur Cement Limited,10.00,23.07,5.93,38903878.58347387,ANNUAL GENERAL MEETING,19-SEP-18,-
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,10.00,197.28,310.72,6349124.613800205,ANNUAL GENERAL MEETING,03-SEP-18,-
BVCL,Barak Valley Cements Limited,10.00,13.81,18.27,7558839.627805145,ANNUAL GENERAL MEETING,19-SEP-18,-
BYKE,The Byke Hospitality Ltd,10.00,230.35,103.49,22258189.197023865,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,18-SEP-18,-
CADILAHC,Cadila Healthcare Limited,1.00,9660.29,382.81,252352080.66664928,ANNUAL GENERAL MEETING\/DIVIDEND- RS 3.50 PER SHARE (PURPOSE REVISED),31-JUL-18,-
CALSOFT,California Software Company Limited,10.00,16.32,43.43,3757771.125949804,ANNUAL GENERAL MEETING,20-SEP-17,-
