,open,high,low,close,volume,Supertrend,Macd,Macd_h,Macd_s,BB_l,BB_m,BB_u,sRSI_k,sRSI_d,action,BP,SP,PNL
2023-07-20 15:00:00+05:30,46227.85,46282.0,46211.95,46250.0,12255.0,46361.150137814664,52.45916441658483,-9.651284068332679,62.110448484917505,46046.18684773993,46198.80999999999,46351.43315226005,25.111420536359077,14.126990924236955,SELL,,,
2023-07-20 15:05:00+05:30,46250.0,46301.5,46250.0,46301.05,15945.0,46361.150137814664,55.1276951589316,-5.586202660788722,60.71389781972032,46055.87017563909,46208.532499999994,46361.1948243609,38.53786375578942,25.62531336834924,SELL,,,
2023-07-20 15:10:00+05:30,46302.15,46367.75,46291.3,46332.5,20205.0,46361.150137814664,59.09902043958573,-1.2919019041076751,60.390922343693404,46063.133106007306,46219.1725,46375.211893992695,49.84866762575364,37.83265063930073,SELL,,,
2023-07-20 15:15:00+05:30,46330.85,46355.0,46307.55,46328.05,16590.0,46361.150137814664,61.181978759872436,0.6328451329432241,60.54913362692921,46090.91646932857,46233.082500000004,46375.24853067144,57.534782899785405,48.64043809377617,,,,
2023-07-20 15:20:00+05:30,46333.45,46349.4,46316.95,46328.95,16995.0,46361.150137814664,62.18849050642166,1.311485503593957,60.8770050028277,46113.09688485318,46245.015,46376.93311514682,59.730345265803045,55.70459859711405,BUY,46328.95,,5.2500000000873115
2023-07-20 15:25:00+05:30,46328.95,46335.0,46300.0,46305.0,13275.0,46361.150137814664,60.35782602857944,-0.41534317939861154,60.77316920797805,46139.18840510319,46255.28,46371.37159489681,53.571926887291944,56.94568501762681,,,,
2023-07-21 09:15:00+05:30,46253.4,46389.95,46209.2,46366.65,21795.0,46086.674100100165,63.15365498720348,1.904388623380342,61.24926636382314,46154.90611197691,46266.8575,46378.808888023086,55.061316577999115,56.12119624369805,BUY,,,
2023-07-21 09:20:00+05:30,46360.35,46499.0,46338.3,46490.0,34770.0,46167.292085800145,74.46430553898244,10.572031340127445,63.892274198855,46142.53167328356,46282.77250000001,46423.01332671645,68.33544962904328,58.98956436477814,BUY,,,
2023-07-21 09:25:00+05:30,46478.1,46529.65,46430.2,46430.2,20085.0,46221.85393068584,77.70695989677188,11.0517485583335,66.65521133843838,46137.64113651715,46291.310000000005,46444.97886348286,75.63857420728218,66.34511347144155,BUY,,,
2023-07-21 09:30:00+05:30,46425.3,46450.8,46310.0,46317.95,13500.0,46221.85393068584,70.40753570532979,3.0018594935131375,67.40567621181665,46143.76197330796,46295.51,46447.25802669204,59.18218278266903,67.71873553966485,BUY,,,
2023-07-21 09:35:00+05:30,46305.0,46366.0,46260.3,46323.0,10185.0,46221.85393068584,64.28909754160122,-2.493262936172343,66.78236047777357,46148.45803715942,46299.16,46449.86196284059,31.38558093094404,55.40211264029844,SELL,,46323.0,-83.99999999986903
2023-07-21 09:40:00+05:30,46323.0,46341.55,46280.15,46309.65,6600.0,46221.85393068584,57.69785285444959,-7.267606098659172,64.96545895310877,46153.08633134194,46302.137500000004,46451.18866865807,9.746311471805436,33.438025061806194,SELL,,,
