Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
20-Apr-23,RITCO,174.9,169.8,0.0296,0.0283,0.0283,0.5407
20-Apr-23,RITES,349.5,347.8,0.0049,0.0218,0.0218,0.4165
20-Apr-23,RITZ,15.25,15.25,0,0,0,0
20-Apr-23,RKDL,18.45,18.2,0.0136,0.0386,0.0385,0.7355
20-Apr-23,RKEC,66.35,68.55,-0.0326,0.0412,0.0411,0.7852
20-Apr-23,RKFORGE,324.05,307.4,0.0527,0.0271,0.0272,0.5197
20-Apr-23,RMCL,1.6,1.6,0,0.0368,0.0367,0.7012
20-Apr-23,RML,435.3,440.65,-0.0122,0.0296,0.0295,0.5636
20-Apr-23,RNAVAL,2.65,2.55,0.0385,0.0376,0.0376,0.7183
20-Apr-23,ROADWAYS,10,10,0,0,0,0
20-Apr-23,ROBERT,10.7,10.7,0,0,0,0
20-Apr-23,ROHLTD,322.5,282.95,0.1308,0.0355,0.0366,0.6992
20-Apr-23,ROLEXRINGS,1931.4,1951.15,-0.0102,0.0209,0.0208,0.3974
20-Apr-23,ROLLT,1.1,1.1,0,0.0377,0.0376,0.7183
20-Apr-23,ROML,42.65,40.65,0.048,0.0322,0.0323,0.6171
20-Apr-23,ROSSARI,698.35,698.05,0.0004,0.022,0.022,0.4203
20-Apr-23,ROSSELLIND,256.3,256.9,-0.0023,0.0392,0.0391,0.747
20-Apr-23,ROTO,589.55,584.9,0.0079,0.0186,0.0185,0.3534
20-Apr-23,ROUTE,1255.35,1278.25,-0.0181,0.0262,0.0261,0.4986
20-Apr-23,RPGLIFE,788.8,793.65,-0.0061,0.0278,0.0277,0.5292
20-Apr-23,RPOWER,12.1,12.25,-0.0123,0.0356,0.0355,0.6782
20-Apr-23,RPPINFRA,42.35,41.8,0.0131,0.0326,0.0325,0.6209
20-Apr-23,RPPL,149.95,154.4,-0.0292,0.0309,0.0309,0.5903
20-Apr-23,RPSGVENT,395.3,381.65,0.0351,0.0245,0.0246,0.47
20-Apr-23,RSSOFTWARE,25.85,25.9,-0.0019,0.0343,0.0342,0.6534
20-Apr-23,RSWM,178.55,171.55,0.04,0.0274,0.0274,0.5235
20-Apr-23,RSYSTEMS,257.2,257.05,0.0006,0.0266,0.0265,0.5063
20-Apr-23,RTNINDIA,40.15,40,0.0037,0.0354,0.0353,0.6744
20-Apr-23,RTNPOWER,3.1,3.1,0,0.031,0.0309,0.5903
20-Apr-23,RUBYMILLS,187.05,183.4,0.0197,0.0354,0.0353,0.6744
20-Apr-23,RUCHINFRA,8.25,8.2,0.0061,0.031,0.0309,0.5903
20-Apr-23,RUCHIRA,105.25,106.4,-0.0109,0.0321,0.0321,0.6133
20-Apr-23,RUPA,243.55,231.95,0.0488,0.0279,0.0281,0.5368
20-Apr-23,RUSHIL,276.5,274,0.0091,0.0347,0.0346,0.661
