Date,Index,Open,High,Low,Close,Volume,Turnover
2017-08-03,Nifty Metal,3281.65,3281.65,3212.25,3221.5,76673157.0,15231199999.999998
2017-08-04,Nifty Metal,3213.4,3310.25,3210.55,3302.0,64797855.0,13418200000.0
2017-08-07,Nifty Metal,3319.25,3346.15,3312.9,3341.05,51911941.0,14230500000.0
2017-08-08,Nifty Metal,3371.2,3439.85,3369.9,3390.2,120912122.0,31679000000.0
2017-08-09,Nifty Metal,3397.85,3435.85,3371.9,3383.4,72841200.0,15782600000.0
2017-08-10,Nifty Metal,3374.05,3403.95,3288.4,3328.65,82249069.0,18419600000.0
2017-08-11,Nifty Metal,3286.1,3311.3,3193.65,3216.6,90949009.0,21409699999.999996
2017-08-14,Nifty Metal,3257.35,3339.85,3251.2,3326.6,65254524.0,16075200000.0
2017-08-16,Nifty Metal,3343.0,3390.2,3311.8,3383.95,69222817.0,16503000000.0
2017-08-17,Nifty Metal,3405.65,3457.8,3400.15,3409.15,85480695.0,20620600000.0
2017-08-18,Nifty Metal,3377.45,3407.55,3363.1,3384.65,56231752.0,12919300000.0
2017-08-21,Nifty Metal,3419.65,3455.15,3327.65,3337.6,53091221.0,11964300000.0
2017-08-22,Nifty Metal,3373.8,3392.0,3327.35,3340.2,53076565.0,12125100000.0
2017-08-23,Nifty Metal,3366.25,3402.4,3329.45,3397.6,44688762.0,10769200000.0
2017-08-24,Nifty Metal,3411.65,3427.55,3389.45,3414.05,51854081.0,12605300000.0
2017-08-28,Nifty Metal,3425.0,3434.45,3408.9,3426.45,38910051.0,9504700000.0
2017-08-29,Nifty Metal,3426.9,3443.25,3378.05,3388.55,48145747.0,11716099999.999998
2017-08-30,Nifty Metal,3421.7,3483.8,3419.6,3478.2,54120199.0,12804300000.0
2017-08-31,Nifty Metal,3480.1,3482.75,3442.95,3474.85,92936455.0,22948200000.0
2017-09-01,Nifty Metal,3491.9,3545.2,3487.8,3542.5,63166142.0,15083599999.999998
2017-09-04,Nifty Metal,3550.2,3571.25,3486.35,3547.6,61756097.0,13612400000.0
2017-09-05,Nifty Metal,3562.55,3584.95,3540.35,3578.15,41083059.0,10460800000.0
2017-09-06,Nifty Metal,3542.7,3611.7,3539.8,3604.9,45831618.0,11095900000.0
2017-09-07,Nifty Metal,3629.75,3654.8,3602.5,3646.4,77863190.0,16376199999.999998
2017-09-08,Nifty Metal,3661.4,3702.8,3632.65,3652.95,81106446.0,18773400000.0
2017-09-11,Nifty Metal,3658.25,3695.5,3638.65,3675.0,47657653.0,11161700000.0
2017-09-12,Nifty Metal,3696.65,3738.65,3693.8,3711.05,49898594.0,15618699999.999998
2017-09-13,Nifty Metal,3708.3,3723.85,3659.1,3671.15,45783578.0,10211500000.0
2017-09-14,Nifty Metal,3673.6,3705.2,3627.0,3650.4,51481170.0,12739300000.0
2017-09-15,Nifty Metal,3632.65,3670.5,3606.25,3663.3,74929737.0,17869900000.0
2017-09-18,Nifty Metal,3672.6,3700.15,3666.5,3689.75,45314127.0,10753300000.0
2017-09-19,Nifty Metal,3690.15,3698.3,3653.35,3663.2,42448028.0,10403500000.0
2017-09-20,Nifty Metal,3670.65,3688.25,3642.05,3660.55,59623145.0,15789300000.0
2017-09-21,Nifty Metal,3669.6,3679.25,3579.7,3638.8,55141190.0,13976400000.000002
2017-09-22,Nifty Metal,3618.9,3618.9,3479.0,3491.8,75458173.0,17054500000.0
2017-09-25,Nifty Metal,3494.8,3500.85,3366.15,3450.1,68424967.0,16929400000.0
2017-09-26,Nifty Metal,3459.6,3541.0,3447.6,3533.05,52795563.0,13395200000.0
2017-09-27,Nifty Metal,3548.25,3549.45,3453.05,3477.2,52853588.0,13034500000.0
2017-09-28,Nifty Metal,3483.6,3523.9,3457.55,3501.55,82381417.0,19683100000.0
2016-01-01,Nifty MNC,9556.05,9616.35,9545.8,9600.75,6003638.0,3100200000.0
2016-01-04,Nifty MNC,9586.45,9625.5,9511.4,9520.8,13870832.0,5642000000.0
